"","Word","Time","F1","F2","F3","VClass","N","RTime","LDur"
"1","child129",0.025925,739.771,1522.028,2309.263,"ay",29,0,"Long"
"2","child129",0.027925,742.721,1496.464,2309.456,"ay",29,0.0109890109890110,"Long"
"3","child129",0.029925,741.999,1487.178,2313.133,"ay",29,0.0219780219780220,"Long"
"4","child129",0.031925,738.795,1483.538,2314.338,"ay",29,0.032967032967033,"Long"
"5","child129",0.033925,735.457,1472.834,2305.342,"ay",29,0.0439560439560439,"Long"
"6","child129",0.035925,734.296,1441.201,2290.184,"ay",29,0.0549450549450549,"Long"
"7","child129",0.037925,735.425,1388.691,2287.175,"ay",29,0.0659340659340659,"Long"
"8","child129",0.039925,737.755,1354.036,2296.853,"ay",29,0.076923076923077,"Long"
"9","child129",0.041925,741.325,1352.935,2308.006,"ay",29,0.0879120879120879,"Long"
"10","child129",0.043925,746.18,1369.305,2315.302,"ay",29,0.098901098901099,"Long"
"11","child129",0.045925,751.83,1386.346,2314.347,"ay",29,0.109890109890110,"Long"
"12","child129",0.047925,756.889,1395.661,2319.671,"ay",29,0.120879120879121,"Long"
"13","child129",0.049925,761.522,1399.685,2348.992,"ay",29,0.131868131868132,"Long"
"14","child129",0.051925,766.535,1399.82,2388.032,"ay",29,0.142857142857143,"Long"
"15","child129",0.053925,771.844,1393.532,2391.773,"ay",29,0.153846153846154,"Long"
"16","child129",0.055925,777.072,1377.713,2364.094,"ay",29,0.164835164835165,"Long"
"17","child129",0.057925,782.271,1357.904,2341.391,"ay",29,0.175824175824176,"Long"
"18","child129",0.059925,786.152,1353.023,2327.948,"ay",29,0.186813186813187,"Long"
"19","child129",0.061925,789.261,1381.153,2318.177,"ay",29,0.197802197802198,"Long"
"20","child129",0.063925,791.474,1427.806,2308.435,"ay",29,0.208791208791209,"Long"
"21","child129",0.065925,790.451,1457.711,2300.51,"ay",29,0.219780219780220,"Long"
"22","child129",0.067925,787.533,1457.519,2300.807,"ay",29,0.230769230769231,"Long"
"23","child129",0.069925,785.565,1432.01,2312.183,"ay",29,0.241758241758242,"Long"
