*hr.2	ae.2	ah.2	ahr.2	aw.2	ay0.2	ayV.2	e.2	eyC.2	eyr.2	i.2	iw.2	iyC.2	iyr.2	Kuw.2	o.2	oh.2	ohr.2	owC.2	owr.2	oy.2	Tuw.2	u.2	uh.2
1550.33333333333	2093.01075268817	1481.5	1336	1438.05555555556	1552.41666666667	1647.90625	1780.12903225806	1899.75925925926	1895.57142857143	1867.04255319149	2079.16666666667	2231.28	1935.5	1105.21739130435	1590.83333333333	1295.17948717949	NA	1152.80487804878	1063.14285714286	1057.14285714286	1507.375	1459.70588235294	1384.61904761905
1574.66666666667	2134.53164556962	1542.5	1565	1429	1567.76923076923	1631.96428571429	1767.80392156863	2002.32258064516	2075.5	1911.66666666667	1714.16666666667	2180.27272727273	2158.5	1005.66666666667	1691.675	1284.91428571429	1605.71428571429	1027.225	1059.18181818182	925.714285714286	1411	1376.7	1400.93181818182
1616.6	2031.24390243902	NA	1413	1336.9375	NA	1763.81818181818	1897.20833333333	2042.68421052632	2130.33333333333	1969.25	1823.5	2319.75	2080.5	942.2	1691.47368421053	1220.625	NA	985.727272727273	1081.5	1183	1435.2	1293.1	1283.28571428571
1531.4	2056.36956521739	NA	1285.25	1273.5	1526.5	1574.25	1633.05882352941	1889.76923076923	1805.66666666667	1681.47058823529	1859	2270.2	NA	901.142857142857	1553.26666666667	1146.52	NA	968.545454545455	927.4	965	1833.25	1170.90909090909	1293.75
NA	2050.53703703704	1370.5	1309.66666666667	1351.25	1480.25	1430	1762.77777777778	2080.92307692308	2003	1906.40909090909	1602	2270.8	NA	950.5625	1439.46666666667	1195.39534883721	687	1022.18518518519	820	826.75	1275.2	1224.76923076923	1383.64285714286
1450	2046.55813953488	1435.66666666667	1452	1283.625	NA	1637	1788.33333333333	2283	2281.5	1978.84615384615	1733	2294.66666666667	NA	849.5	1559.875	1221	1001	972.6	978.428571428571	NA	1616	1255.75	1325.6
1558.71428571429	1825.82978723404	1220	1218.75	1349	1534.33333333333	1469.54545454545	1798.69230769231	1952.66666666667	1862.5	1903.23529411765	1522.66666666667	2257.64705882353	2049	887.333333333333	1347.96875	1109.87179487179	1008	1043.5	928.5	1075.33333333333	1357.75	1140	1302.82352941176
1425.8	2079.64150943396	NA	1240.33333333333	1426.76923076923	NA	1411.5	1856.27272727273	2124.44444444444	2113.66666666667	2029.71428571429	1802.5	2350.44444444444	NA	888	1359.45833333333	1081.04761904762	840.333333333333	955.818181818182	843.25	NA	1731.55555555556	1109	1357.3125
1435.66666666667	2144.16901408451	1410.8	1287.8	1414.33333333333	1401	1565	1715	1913.61538461538	1829	1928.5	1644.4	2277.63636363636	NA	968.0625	1516.14285714286	1213.47222222222	1049.33333333333	1092.7	1093.33333333333	987.333333333333	1577.66666666667	1303.93333333333	1267.66666666667
1590.75	2308.54838709677	1386.33333333333	1438.33333333333	1569.5	1605	1566	1888.33333333333	2225	2200	2037	1639.85714285714	2564.14285714286	2664	910.411764705882	1528.21428571429	1150.95	760.666666666667	1036.03846153846	849.5	844.5	1572.8	1239.92857142857	1307.76190476190
1401.25	2176.54385964912	1222	1104.18181818182	1679.35714285714	NA	1273.66666666667	1995.63157894737	2090.27272727273	2129.6	2162.26666666667	1911.6	2529.625	2267	1182.1	1265.22580645161	1024.57142857143	885.571428571429	1145.25	921	931.5	2065.5	953.6	1418.42857142857
1549.66666666667	1917.79166666667	1396	1249.14285714286	1449.06666666667	1406	1476.5	1716.70588235294	1936.16666666667	1715.66666666667	1769.38461538462	1818	2137	NA	994.75	1427.35	1131.42105263158	929.6	1077.0625	1049.14285714286	1262	1779.5	1332.66666666667	1392.42857142857
1567.8	2055.44897959184	1372	1388.71428571429	1562.95454545455	NA	1575.83333333333	1917.81818181818	2123.54545454545	1955	2045.93333333333	1576.33333333333	2528.7	NA	907.75	1431.78260869565	1155.72	908.714285714286	1156	900.25	777	1617	994.625	1430.5
