Begin	end	Duration	Label	Num	Pos
32.9092	33.345	0.4359	0	1	1
33.345	33.6708	0.3258	7	1	2
33.6708	34.1505	0.4797	0	1	3
34.2579	34.474	0.2161	6	1	4
34.474	34.7661	0.2921	7	1	5
34.7661	35.0311	0.265	6	1	6
35.0311	35.3019	0.2708	3	1	7
52.2165	52.3747	0.1582	2	2	1
52.3747	52.6555	0.2808	6	2	2
52.6555	52.9587	0.3032	1	2	3
53.1899	53.4284	0.2386	5	2	4
53.4284	53.5726	0.1441	2	2	5
53.5726	53.7938	0.2212	7	2	6
53.7938	54.2386	0.4448	6	2	7
56.1647	56.3239	0.1592	4	3	1
56.3239	56.5532	0.2293	7	3	2
56.5532	57.0282	0.475	5	3	3
57.2037	57.4096	0.2059	4	3	4
57.4096	57.5828	0.1732	8	3	5
57.5828	57.7794	0.1966	5	3	6
57.7794	58.0929	0.3136	1	3	7
59.8561	60.0687	0.2126	3	4	1
60.0687	60.2778	0.2092	0	4	2
60.2778	60.6226	0.3448	2	4	3
60.9251	61.137	0.212	2	4	4
61.137	61.4593	0.3222	1	4	5
61.4593	61.6995	0.2402	0	4	6
61.6995	62.1546	0.4551	6	4	7
64.5937	64.7738	0.1801	4	5	1
64.7738	64.9467	0.1729	8	5	2
64.9467	65.3898	0.4431	9	5	3
65.7248	65.9121	0.1873	2	5	4
65.9121	66.1282	0.2161	3	5	5
66.1282	66.4164	0.2882	3	5	6
66.4164	66.773	0.3566	4	5	7
70.2815	70.4695	0.188	8	6	1
70.4695	70.5962	0.1266	6	6	2
70.5962	71.0471	0.4509	7	6	3
71.2677	71.4922	0.2245	1	6	4
71.4922	71.6745	0.1823	3	6	5
71.6745	71.8645	0.19	2	6	6
71.8645	72.1715	0.307	0	6	7
74.0996	74.2593	0.1596	1	7	1
74.2593	74.4547	0.1954	6	7	2
74.4547	74.8502	0.3956	5	7	3
74.9116	75.0633	0.1517	2	7	4
75.0633	75.2475	0.1841	9	7	5
75.2475	75.3752	0.1277	2	7	6
75.3752	75.8095	0.4343	9	7	7
77.5425	77.7431	0.2006	9	8	1
77.7431	77.9402	0.1971	7	8	2
77.9402	78.3241	0.3839	2	8	3
78.4002	78.6388	0.2386	6	8	4
78.6388	78.8013	0.1625	4	8	5
78.8013	79.0192	0.2179	6	8	6
79.0192	79.3339	0.3147	7	8	7
81.5482	81.6929	0.1447	8	9	1
81.6929	81.9589	0.266	7	9	2
81.9589	82.3813	0.4224	4	9	3
82.5025	82.7098	0.2073	2	9	4
82.7098	82.9249	0.2151	0	9	5
82.9249	83.14	0.2151	3	9	6
83.14	83.5044	0.3644	1	9	7
85.6022	85.7703	0.168	2	10	1
85.7703	86.015	0.2448	4	10	2
86.015	86.5557	0.5407	7	10	3
86.8078	87.0233	0.2155	3	10	4
87.0233	87.279	0.2557	2	10	5
87.279	87.5494	0.2703	6	10	6
87.5494	87.7905	0.2411	9	10	7
90.9907	91.2903	0.2996	9	11	1
91.2903	91.5063	0.216	6	11	2
91.5063	91.8546	0.3483	9	11	3
92.182	92.3771	0.1951	1	11	4
92.3771	92.7672	0.3901	0	11	5
93.1156	93.3107	0.1951	4	11	6
93.3107	93.5963	0.2856	1	11	7
95.8492	96.0356	0.1863	9	12	1
96.0356	96.243	0.2074	9	12	2
96.243	96.6205	0.3775	2	12	3
96.7469	96.8943	0.1474	1	12	4
96.8943	97.0888	0.1944	6	12	5
97.0888	97.254	0.1653	0	12	6
97.254	97.4922	0.2382	2	12	7
104.3882	104.5659	0.1777	2	13	1
104.5659	104.7799	0.214	2	13	2
104.7799	105.1448	0.3649	2	13	3
105.3243	105.5498	0.2254	0	13	4
105.5498	105.7599	0.2101	8	13	5
105.7599	105.9586	0.1987	4	13	6
105.9586	106.2433	0.2847	0	13	7
109.9351	110.0725	0.1374	8	14	1
110.0725	110.313	0.2405	0	14	2
110.313	110.7596	0.4466	7	14	3
111.0143	111.2366	0.2223	6	14	4
111.2366	111.4043	0.1677	0	14	5
111.4043	111.6064	0.2021	9	14	6
111.6064	111.8711	0.2647	1	14	7
113.8279	114.025	0.1971	6	15	1
114.025	114.2344	0.2094	0	15	2
114.2344	114.6717	0.4373	6	15	3
114.955	115.0925	0.1376	8	15	4
115.0925	115.3656	0.2731	6	15	5
115.3656	115.5011	0.1355	8	15	6
115.5011	115.7844	0.2833	1	15	7
117.9134	118.0634	0.1499	2	16	1
118.0634	118.2613	0.1979	1	16	2
118.2613	118.739	0.4778	9	16	3
118.9149	119.1428	0.2279	9	16	4
119.1428	119.3227	0.1799	0	16	5
119.3227	119.5566	0.2339	5	16	6
119.5566	119.8084	0.2519	3	16	7
122.8996	123.1544	0.2548	3	17	1
123.1544	123.3864	0.232	2	17	2
123.3864	123.7666	0.3801	1	17	3
124.4793	125.1418	0.6625	7	17	4
125.1418	125.3235	0.1817	1	17	5
125.3235	125.5275	0.2041	1	17	6
125.5275	125.8802	0.3526	8	17	7
127.5766	127.7652	0.1886	2	18	1
127.7652	128.0232	0.258	0	18	2
128.0232	128.3933	0.3701	1	18	3
128.6193	128.7687	0.1495	2	18	4
128.7687	128.8773	0.1085	8	18	5
128.8773	128.9929	0.1157	8	18	6
128.9929	129.3292	0.3363	4	18	7
131.8423	132.0253	0.1829	7	19	1
132.0253	132.1984	0.1732	8	19	2
132.1984	132.7496	0.5512	5	19	3
133.0862	133.2862	0.2	3	19	4
133.2862	133.6667	0.3805	0	19	5
133.6667	133.8838	0.2171	8	19	6
133.8838	134.3325	0.4488	6	19	7
135.976	136.1909	0.2149	6	20	1
136.1909	136.4038	0.2129	6	20	2
136.4038	136.596	0.1922	8	20	3
137.156	137.2945	0.1385	8	20	4
137.2945	137.5259	0.2315	4	20	5
137.5259	137.654	0.1281	8	20	6
137.654	138.0012	0.3472	2	20	7
139.9245	140.0952	0.1707	9	21	1
140.0952	140.3512	0.256	0	21	2
140.3512	140.5406	0.1894	8	21	3
141.0048	141.1463	0.1415	2	21	4
141.1463	141.3565	0.2102	6	21	5
141.3565	141.5813	0.2248	5	21	6
141.5813	141.8685	0.2872	2	21	7
144.0708	144.2042	0.1334	3	22	1
144.2042	144.4649	0.2607	5	22	2
144.4649	144.8327	0.3678	2	22	3
145.0994	145.346	0.2466	7	22	4
145.346	145.4976	0.1516	8	22	5
145.4976	145.6794	0.1819	6	22	6
145.6794	146.1183	0.4389	5	22	7
151.8381	152.0026	0.1644	4	23	1
152.0026	152.1381	0.1355	1	23	2
152.1381	152.6296	0.4915	5	23	3
152.7308	152.9116	0.1807	9	23	4
152.9116	153.1284	0.2169	4	23	5
153.1284	153.3651	0.2367	5	23	6
153.3651	153.6507	0.2855	4	23	7
156.1478	156.4443	0.2965	0	24	1
156.4443	156.6486	0.2043	9	24	2
156.6486	157.0606	0.412	4	24	3
157.471	157.6617	0.1908	1	24	4
157.6617	157.8593	0.1975	1	24	5
157.8593	158.0501	0.1908	8	24	6
158.0501	158.403	0.3529	7	24	7
160.2405	160.3661	0.1256	2	25	1
160.3661	160.5746	0.2085	8	25	2
160.5746	161.0579	0.4833	6	25	3
161.1526	161.3895	0.2369	6	25	4
161.3895	161.6241	0.2345	6	25	5
161.6241	161.9249	0.3009	6	25	6
161.9249	162.4248	0.4999	6	25	7
166.0791	166.1944	0.1153	8	26	1
166.1944	166.3731	0.1786	8	26	2
166.3731	166.7801	0.407	2	26	3
167.3114	167.4675	0.156	8	26	4
167.4675	167.6461	0.1786	1	26	5
167.6461	167.8338	0.1877	4	26	6
167.8338	168.338	0.5042	6	26	7
170.1459	170.3161	0.1703	9	27	1
170.3161	170.477	0.1609	8	27	2
170.477	170.8504	0.3733	4	27	3
171.0488	171.2393	0.1906	9	27	4
171.2393	171.3862	0.1468	8	27	5
171.3862	171.6267	0.2406	9	27	6
171.6267	171.7845	0.1578	8	27	7
173.8672	174.0986	0.2314	7	28	1
174.0986	174.3339	0.2353	5	28	2
174.3339	174.6008	0.267	8	28	3
174.9568	175.1881	0.2314	7	28	4
175.1881	175.3839	0.1958	9	28	5
175.3839	175.6074	0.2234	7	28	6
175.6074	175.8802	0.2729	4	28	7
178.6861	178.9474	0.2613	9	29	1
178.9474	179.1184	0.1711	3	29	2
179.1184	179.5758	0.4574	4	29	3
180.1167	180.2837	0.167	5	29	4
180.2837	180.4847	0.2009	1	29	5
180.4847	180.7072	0.2225	7	29	6
180.7072	181.0021	0.2949	0	29	7
183.1678	183.3515	0.1838	4	30	1
183.3515	183.5802	0.2287	6	30	2
183.5802	183.9927	0.4125	4	30	3
184.0631	184.2293	0.1662	4	30	4
184.2293	184.458	0.2287	3	30	5
184.458	184.7317	0.2737	0	30	6
184.7317	184.9858	0.2541	1	30	7
189.5304	189.748	0.2176	5	31	1
189.748	189.9453	0.1973	8	31	2
189.9453	190.3093	0.3641	1	31	3
190.7588	190.9358	0.1769	1	31	4
190.9358	191.1249	0.1891	5	31	5
191.1249	191.3649	0.24	2	31	6
191.3649	191.6354	0.2705	2	31	7
194.3754	194.669	0.2936	0	32	1
194.669	194.8973	0.2283	3	32	2
194.8973	195.2891	0.3918	0	32	3
195.4001	195.6766	0.2765	0	32	4
195.6766	195.9029	0.2263	3	32	5
195.9029	196.1271	0.2242	6	32	6
196.1271	196.3889	0.2619	8	32	7
199.6492	199.8162	0.167	3	33	1
199.8162	200.035	0.2187	4	33	2
200.035	200.4745	0.4396	0	33	3
200.6745	200.9245	0.25	7	33	4
200.9245	201.112	0.1875	3	33	5
201.112	201.3308	0.2187	1	33	6
201.3308	201.7662	0.4354	6	33	7
204.0308	204.2601	0.2293	7	34	1
204.2601	204.4642	0.2041	0	34	2
204.4642	204.9206	0.4564	9	34	3
205.2761	205.4985	0.2225	0	34	4
205.4985	205.7645	0.266	7	34	5
205.7645	205.987	0.2225	7	34	6
205.987	206.3034	0.3165	5	34	7
208.9163	209.0745	0.1582	1	35	1
209.0745	209.3159	0.2414	7	35	2
209.3159	209.8196	0.5037	6	35	3
210.0381	210.2067	0.1686	4	35	4
210.2067	210.4232	0.2165	0	35	5
210.4232	210.6688	0.2456	6	35	6
210.6688	210.9834	0.3146	4	35	7
213.1894	213.3398	0.1504	2	36	1
213.3398	213.545	0.2052	9	36	2
213.545	214.051	0.506	6	36	3
214.1323	214.3598	0.2276	7	36	4
214.3598	214.5285	0.1687	4	36	5
214.5285	214.7784	0.2499	7	36	6
214.7784	215.0222	0.2438	2	36	7
221.411	221.6219	0.2109	0	37	1
221.6219	221.8094	0.1875	4	37	2
221.8094	222.1653	0.3558	3	37	3
222.3016	222.5062	0.2046	0	37	4
222.5062	222.6916	0.1854	0	37	5
222.6916	222.9515	0.26	7	37	6
222.9515	223.2307	0.2791	9	37	7
225.4033	225.5737	0.1704	9	38	1
225.5737	225.744	0.1704	4	38	2
225.744	226.1882	0.4442	4	38	3
226.391	226.6404	0.2495	6	38	4
226.6404	226.7783	0.1379	0	38	5
226.7783	226.9609	0.1825	2	38	6
226.9609	227.255	0.2941	3	38	7
230.093	230.3659	0.2729	6	39	1
230.3659	230.5182	0.1523	4	39	2
230.5182	231.0639	0.5457	5	39	3
231.36	231.4912	0.1311	8	39	4
231.4912	231.726	0.2348	9	39	5
231.726	231.9227	0.1967	9	39	6
231.9227	232.2442	0.3215	3	39	7
234.169	234.3231	0.1541	8	40	1
234.3231	234.5493	0.2262	5	40	2
234.5493	235.1319	0.5825	5	40	3
235.248	235.4702	0.2222	1	40	4
235.4702	235.6083	0.1381	8	40	5
235.6083	235.8245	0.2162	2	40	6
235.8245	236.0807	0.2562	2	40	7
238.1085	238.3046	0.1961	5	41	1
238.3046	238.4866	0.182	2	41	2
238.4866	238.9051	0.4185	0	41	3
239.2427	239.3782	0.1355	8	41	4
239.3782	239.6087	0.2305	8	41	5
239.6087	239.7866	0.1779	0	41	6
239.7866	240.1893	0.4027	3	41	7
242.0721	242.2296	0.1574	2	42	1
242.2296	242.4351	0.2056	3	42	2
242.4351	242.8444	0.4093	3	42	3
243.0481	243.1685	0.1204	1	42	4
243.1685	243.3611	0.1926	9	42	5
243.3611	243.5222	0.1611	3	42	6
243.5222	244.0133	0.4911	5	42	7
246.6108	246.8721	0.2614	0	43	1
246.8721	247.0277	0.1556	2	43	2
247.0277	247.5815	0.5538	5	43	3
247.7579	247.9425	0.1846	5	43	4
247.9425	248.1935	0.251	7	43	5
248.1935	248.3781	0.1846	5	43	6
248.3781	248.7684	0.3903	0	43	7
254.6265	254.8903	0.2638	7	44	1
254.8903	255.1739	0.2835	9	44	2
255.1739	255.5145	0.3406	1	44	3
255.7921	255.9595	0.1674	4	44	4
255.9595	256.2135	0.254	7	44	5
256.2135	256.4006	0.1871	8	44	6
256.4006	256.71	0.3094	3	44	7
258.3585	258.5314	0.1729	3	45	1
258.5314	258.7183	0.1869	3	45	2
258.7183	259.1955	0.4772	7	45	3
260.2333	260.5869	0.3536	5	45	4
260.5869	260.8428	0.2559	6	45	5
260.8428	261.0756	0.2329	7	45	6
261.0756	261.4436	0.368	7	45	7
263.6183	263.7877	0.1694	4	46	1
263.7877	264.0225	0.2348	9	46	2
264.0225	264.2348	0.2123	8	46	3
264.7839	264.9513	0.1674	3	46	4
264.9513	265.2228	0.2715	6	46	5
265.2228	265.3698	0.147	3	46	6
265.3698	265.678	0.3083	2	46	7
269.2053	269.4513	0.246	7	47	1
269.4513	269.6827	0.2314	6	47	2
269.6827	270.0245	0.3418	3	47	3
270.2705	270.5227	0.2522	6	47	4
270.5227	270.6769	0.1542	3	47	5
270.6769	270.8854	0.2084	5	47	6
270.8854	271.2355	0.3502	9	47	7
273.8302	274.1209	0.2907	5	48	1
274.1209	274.4389	0.318	7	48	2
274.4389	274.8301	0.3912	1	48	3
275.3854	275.5444	0.159	3	48	4
275.5444	275.7867	0.2423	4	48	5
275.7867	275.9861	0.1994	3	48	6
275.9861	276.4707	0.4846	6	48	7
278.1668	278.3397	0.1729	5	49	1
278.3397	278.5208	0.1811	5	49	2
278.5208	278.9881	0.4673	9	49	3
279.3318	279.5459	0.2141	6	49	4
279.5459	279.7167	0.1708	2	49	5
279.7167	279.8876	0.1708	3	49	6
279.8876	280.314	0.4264	9	49	7
281.9937	282.1615	0.1678	1	50	1
282.1615	282.3822	0.2207	9	50	2
282.3822	282.8295	0.4473	0	50	3
282.9951	283.1961	0.201	9	50	4
283.1961	283.4326	0.2365	7	50	5
283.4326	283.5804	0.1478	1	50	6
283.5804	284.095	0.5147	5	50	7
289.327	289.5364	0.2094	1	51	1
289.5364	289.6954	0.159	1	51	2
289.6954	290.1182	0.4228	2	51	3
290.2149	290.4202	0.2053	4	51	4
290.4202	290.6618	0.2416	5	51	5
290.6618	290.8571	0.1953	5	51	6
290.8571	291.2597	0.4026	7	51	7
293.3231	293.6164	0.2933	3	52	1
293.6164	293.7773	0.1609	8	52	2
293.7773	294.009	0.2317	8	52	3
294.2178	294.4725	0.2547	0	52	4
294.4725	294.7253	0.2528	5	52	5
294.7253	294.9168	0.1915	3	52	6
294.9168	295.3653	0.4485	7	52	7
298.4381	298.5814	0.1433	1	53	1
298.5814	298.8128	0.2314	5	53	2
298.8128	299.2793	0.4665	6	53	3
299.3693	299.542	0.1727	3	53	4
299.542	299.7881	0.2461	5	53	5
299.7881	300.0342	0.2461	6	53	6
300.0342	300.3226	0.2884	1	53	7
302.3371	302.4818	0.1447	3	54	1
302.4818	302.6852	0.2035	9	54	2
302.6852	303.1397	0.4545	7	54	3
303.3284	303.4564	0.128	8	54	4
303.4564	303.6566	0.2002	3	54	5
303.6566	303.8994	0.2428	7	54	6
303.8994	304.0867	0.1873	8	54	7
311.6051	311.8107	0.2056	0	55	1
311.8107	311.9813	0.1706	6	55	2
311.9813	312.4509	0.4697	7	55	3
313.0234	313.2313	0.208	1	55	4
313.2313	313.4393	0.208	4	55	5
313.4393	313.6566	0.2173	4	55	6
313.6566	314.0682	0.4116	7	55	7
315.6933	315.8757	0.1824	0	56	1
315.8757	316.0942	0.2185	5	56	2
316.0942	316.5225	0.4283	7	56	3
316.6266	316.8017	0.1752	2	56	4
316.8017	317.0307	0.2289	7	56	5
317.0307	317.1989	0.1682	3	56	6
317.1989	317.5425	0.3436	0	56	7
319.483	319.7082	0.2252	7	57	1
319.7082	319.8677	0.1595	4	57	2
319.8677	320.322	0.4542	9	57	3
320.5228	320.6598	0.137	3	57	4
320.6598	320.8869	0.2271	7	57	5
320.8869	321.1328	0.2459	9	57	6
321.1328	321.4653	0.3325	0	57	7
328.3001	328.5346	0.2345	6	58	1
328.5346	328.6903	0.1557	8	58	2
328.6903	329.0439	0.3536	3	58	3
329.2418	329.4378	0.196	3	58	4
329.4378	329.6262	0.1883	1	58	5
329.6262	329.8126	0.1864	3	58	6
329.8126	330.1105	0.2979	3	58	7
331.9725	332.161	0.1885	5	59	1
332.161	332.3017	0.1407	3	59	2
332.3017	332.7749	0.4732	6	59	3
