Token,DepVar,Style,GramStatus,Following.Seg,Sex,Age,Ethnicity
eating,Ing,careful,participle,vowel,m,6,Irish
processing,Ing,tangent,gerund,0,m,6,Irish
processing,Ing,tangent,gerund,0,m,6,Irish
saying,In,tangent,progressive,vowel,m,6,Irish
living,Ing,tangent,gerund,palatal,m,6,Irish
sitting,In,narrative,progressive,vowel,m,6,Irish
drinking,In,narrative,progressive,0,m,6,Irish
sitting,Ing,narrative,progressive,0,m,6,Irish
wedding,Ing,narrative,noun,0,m,6,Irish
wedding,Ing,narrative,noun,vowel,m,6,Irish
going,Ing,narrative,progressive,apical,m,6,Irish
walking,In,narrative,participle,labial,m,6,Irish
doing,In,narrative,progressive,0,m,6,Irish
talking,In,narrative,gerund,0,m,6,Irish
doing,In,narrative,progressive,0,m,6,Irish
taking,In,narrative,progressive,labial,m,6,Irish
going,In,narrative,progressive,vowel,m,6,Irish
going,In,narrative,progressive,vowel,m,6,Irish
calling,In,narrative,progressive,labial,m,6,Irish
trying,In,narrative,progressive,apical,m,6,Irish
taking,In,narrative,progressive,apical,m,6,Irish
saying,Ing,narrative,progressive,palatal,m,6,Irish
kidding,In,narrative,progressive,labial,m,6,Irish
being,In,narrative,progressive,labial,m,6,Irish
teaching,Ing,narrative,progressive,0,m,6,Irish
jostling,Ing,narrative,gerund,vowel,m,6,Irish
vibrating,Ing,careful,progressive,0,m,6,Irish
something,In,narrative,thing,apical,m,6,Irish
compromising,In,narrative,adjective,apical,m,6,Irish
getting,In,narrative,progressive,apical,m,6,Irish
accounting,In,narrative,gerund,0,m,6,Irish
making,In,narrative,progressive,vowel,m,6,Irish
waitressing,Ing,narrative,gerund,0,m,6,Irish
waitressing,In,narrative,progressive,palatal,m,6,Irish
processing,In,narrative,gerund,0,m,6,Irish
consulting,Ing,narrative,gerund,labial,m,6,Irish
working,In,narrative,progressive,apical,m,6,Irish
during,In,narrative,during,apical,m,6,Irish
shining,Ing,narrative,gerund,vowel,m,6,Irish
making,In,narrative,progressive,labial,m,6,Irish
looking,Ing,narrative,progressive,labial,m,6,Irish
delivering,Ing,narrative,participle,apical,m,6,Irish
delivering,In,narrative,participle,apical,m,6,Irish
trying,In,narrative,progressive,vowel,m,6,Irish
growing,Ing,tangent,participle,vowel,m,6,Irish
something,Ing,narrative,thing,vowel,m,6,Irish
playing,In,narrative,gerund,vowel,m,6,Irish
going,In,careful,progressive,apical,m,6,Irish
going,In,careful,progressive,apical,m,6,Irish
watching,In,narrative,progressive,apical,m,6,Irish
showing,In,narrative,progressive,labial,m,6,Irish
doing,In,narrative,progressive,vowel,m,6,Irish
doing,In,narrative,progressive,vowel,m,6,Irish
going,In,careful,progressive,vowel,f,2,Irish
giving,In,careful,progressive,vowel,f,2,Irish
upcoming,Ing,careful,adjective,vowel,f,2,Irish
going,In,careful,progressive,vowel,f,2,Irish
fighting,Ing,careful,participle,apical,f,2,Irish
going,Ing,narrative,progressive,vowel,f,2,Irish
coming,Ing,narrative,progressive,labial,f,2,Irish
getting,Ing,careful,gerund,labial,f,2,Irish
pushing,Ing,careful,progressive,labial,f,2,Irish
rewarding,Ing,careful,adjective,vowel,f,2,Irish
rewarding,Ing,careful,adjective,0,f,2,Irish
growing,In,careful,gerund,vowel,f,2,Irish
walking,In,careful,participle,vowel,f,2,Irish
hanging,In,careful,participle,vowel,f,2,Irish
drawing,Ing,careful,gerund,0,f,2,Irish
playing,Ing,careful,participle,labial,f,2,Irish
dating,Ing,narrative,progressive,vowel,f,2,Irish
driving,In,narrative,progressive,0,f,2,Irish
feeling,Ing,careful,noun,vowel,f,2,Irish
having,Ing,careful,participle,palatal,f,2,Irish
leaving,Ing,careful,participle,vowel,f,2,Irish
getting,Ing,careful,participle,vowel,f,2,Irish
using,In,soapbox,participle,vowel,m,6,Italian
getting,Ing,careful,participle,apical,m,6,Italian
staying,In,narrative,progressive,0,m,6,Italian
doing,Ing,soapbox,progressive,0,m,6,Italian
living,Ing,soapbox,participle,apical,m,6,Italian
something,In,soapbox,thing,apical,m,6,Italian
telling,Ing,soapbox,participle,0,m,6,Italian
something,Ing,soapbox,thing,labial,m,6,Italian
talking,Ing,soapbox,progressive,apical,m,6,Italian
coming,Ing,soapbox,progressive,labial,m,6,Italian
being,Ing,soapbox,participle,palatal,m,6,Italian
going,In,soapbox,progressive,apical,m,6,Italian
going,In,soapbox,progressive,apical,m,6,Italian
doing,In,soapbox,progressive,apical,m,6,Italian
sleeping,In,soapbox,gerund,apical,m,6,Italian
sleeping,In,soapbox,participle,vowel,m,6,Italian
doing,In,soapbox,participle,apical,m,6,Italian
something,In,soapbox,thing,0,m,6,Italian
doing,In,soapbox,progressive,0,m,6,Italian
something,Ing,soapbox,thing,apical,m,6,Italian
sleeping,In,response,participle,vowel,m,6,Italian
kidding,Ing,careful,progressive,0,m,6,Italian
checking,Ing,careful,progressive,0,m,6,Italian
saying,Ing,careful,progressive,vowel,m,6,Italian
talking,In,narrative,progressive,apical,m,6,Italian
something,Ing,narrative,thing,labial,m,6,Italian
saying,In,soapbox,progressive,palatal,m,6,Italian
walking,In,soapbox,progressive,vowel,m,6,Italian
nothing,In,soapbox,thing,apical,m,6,Italian
trying,In,soapbox,gerund,apical,m,6,Italian
growing,Ing,soapbox,gerund,vowel,m,6,Italian
something,Ing,soapbox,thing,apical,m,6,Italian
saying,In,soapbox,progressive,apical,m,6,Italian
fighting,Ing,soapbox,progressive,vowel,m,6,Italian
talking,In,soapbox,progressive,vowel,m,6,Italian
running,In,soapbox,participle,apical,m,6,Italian
tripping,In,soapbox,participle,vowel,m,6,Italian
selling,In,narrative,progressive,apical,m,6,Italian
going,Ing,narrative,participle,vowel,m,6,Italian
selling,In,narrative,progressive,vowel,m,6,Italian
selling,Ing,narrative,progressive,apical,m,6,Italian
following,Ing,narrative,participle,palatal,m,6,Italian
trying,In,soapbox,progressive,apical,m,6,Italian
something,Ing,soapbox,thing,velar,m,6,Italian
walking,In,soapbox,participle,vowel,m,6,Italian
trying,In,soapbox,progressive,apical,m,6,Italian
doing,Ing,soapbox,participle,vowel,m,6,Italian
lightning,Ing,response,noun,0,m,6,Italian
going,Ing,narrative,progressive,apical,m,6,Italian
telling,In,narrative,progressive,0,m,6,Italian
training,Ing,narrative,gerund,palatal,m,6,Italian
doing,Ing,narrative,progressive,vowel,m,6,Italian
doing,In,narrative,progressive,apical,m,6,Italian
trying,In,narrative,progressive,apical,m,6,Italian
being,In,response,participle,palatal,m,6,Italian
trying,In,careful,participle,apical,m,6,Italian
helping,Ing,careful,progressive,vowel,m,6,Italian
moving,In,response,progressive,apical,m,6,Italian
doing,Ing,soapbox,progressive,apical,m,6,Italian
sitting,In,soapbox,progressive,vowel,m,6,Italian
listening,In,soapbox,progressive,apical,m,6,Italian
cooking,Ing,soapbox,gerund,vowel,m,6,Italian
telling,In,soapbox,progressive,vowel,m,6,Italian
telling,In,soapbox,progressive,palatal,m,6,Italian
during,In,tangent,during,apical,m,6,Italian
joking,Ing,response,progressive,0,m,6,Italian
rolling,Ing,narrative,participle,0,m,6,Italian
saying,Ing,soapbox,noun,0,m,6,Italian
training,Ing,narrative,gerund,0,m,6,Italian
coming,In,narrative,participle,labial,m,6,Italian
bledding,Ing,narrative,participle,vowel,m,6,Italian
being,Ing,narrative,participle,0,m,6,Italian
climbing,In,narrative,progressive,0,m,6,Italian
getting,In,careful,progressive,vowel,m,6,Italian
doing,In,narrative,progressive,vowel,m,6,Italian
praying,In,narrative,progressive,0,m,6,Italian
listening,Ing,narrative,progressive,0,m,6,Italian
doing,In,narrative,progressive,vowel,m,6,Italian
praying,In,narrative,progressive,0,m,6,Italian
