Begin	end	Duration	Label	Num	Dash	Pos
0	32.9092	32.9092	#1	NUM	no	Num
32.9092	33.345	0.4359	0	no	no	First
33.345	33.6708	0.3258	7	no	no	Second
33.6708	34.1505	0.4797	0	no	no	Third
34.1505	34.2579	0.1074	-	no	Dash	Dash
34.2579	34.474	0.2161	6	no	no	Fourth
34.474	34.7661	0.2921	7	no	no	Fifth
34.7661	35.0311	0.265	6	no	no	Sixth
35.0311	35.3019	0.2708	3	no	no	Seventh
35.3019	52.2165	16.9146	#2	NUM	no	Num
52.2165	52.3747	0.1582	2	no	no	First
52.3747	52.6555	0.2808	6	no	no	Second
52.6555	52.9587	0.3032	1	no	no	Third
52.9587	53.1899	0.2311	-	no	Dash	Dash
53.1899	53.4284	0.2386	5	no	no	Fourth
53.4284	53.5726	0.1441	2	no	no	Fifth
53.5726	53.7938	0.2212	7	no	no	Sixth
53.7938	54.2386	0.4448	6	no	no	Seventh
54.2386	56.1647	1.9261	#3	NUM	no	Num
56.1647	56.3239	0.1592	4	no	no	First
56.3239	56.5532	0.2293	7	no	no	Second
56.5532	57.0282	0.475	5	no	no	Third
57.0282	57.2037	0.1755	-	no	Dash	Dash
57.2037	57.4096	0.2059	4	no	no	Fourth
57.4096	57.5828	0.1732	8	no	no	Fifth
57.5828	57.7794	0.1966	5	no	no	Sixth
57.7794	58.0929	0.3136	1	no	no	Seventh
58.0929	59.8561	1.7632	#4	NUM	no	Num
59.8561	60.0687	0.2126	3	no	no	First
60.0687	60.2778	0.2092	0	no	no	Second
60.2778	60.6226	0.3448	2	no	no	Third
60.6226	60.9251	0.3024	-	no	Dash	Dash
60.9251	61.137	0.212	2	no	no	Fourth
61.137	61.4593	0.3222	1	no	no	Fifth
61.4593	61.6995	0.2402	0	no	no	Sixth
61.6995	62.1546	0.4551	6	no	no	Seventh
62.1546	64.5937	2.4392	#5	NUM	no	Num
64.5937	64.7738	0.1801	4	no	no	First
64.7738	64.9467	0.1729	8	no	no	Second
64.9467	65.3898	0.4431	9	no	no	Third
65.3898	65.7248	0.335	-	no	Dash	Dash
65.7248	65.9121	0.1873	2	no	no	Fourth
65.9121	66.1282	0.2161	3	no	no	Fifth
66.1282	66.4164	0.2882	3	no	no	Sixth
66.4164	66.773	0.3566	4	no	no	Seventh
66.773	70.2815	3.5085	#6	NUM	no	Num
70.2815	70.4695	0.188	8	no	no	First
70.4695	70.5962	0.1266	6	no	no	Second
70.5962	71.0471	0.4509	7	no	no	Third
71.0471	71.2677	0.2207	-	no	Dash	Dash
71.2677	71.4922	0.2245	1	no	no	Fourth
71.4922	71.6745	0.1823	3	no	no	Fifth
71.6745	71.8645	0.19	2	no	no	Sixth
71.8645	72.1715	0.307	0	no	no	Seventh
72.1715	74.0996	1.9282	#7	NUM	no	Num
74.0996	74.2593	0.1596	1	no	no	First
74.2593	74.4547	0.1954	6	no	no	Second
74.4547	74.8502	0.3956	5	no	no	Third
74.8502	74.9116	0.0614	-	no	Dash	Dash
74.9116	75.0633	0.1517	2	no	no	Fourth
75.0633	75.2475	0.1841	9	no	no	Fifth
75.2475	75.3752	0.1277	2	no	no	Sixth
75.3752	75.8095	0.4343	9	no	no	Seventh
79.3339	81.5482	2.2143	#9	NUM	no	Num
81.5482	81.6929	0.1447	8	no	no	First
81.6929	81.9589	0.266	7	no	no	Second
81.9589	82.3813	0.4224	4	no	no	Third
82.3813	82.5025	0.1212	-	no	Dash	Dash
82.5025	82.7098	0.2073	2	no	no	Fourth
82.7098	82.9249	0.2151	0	no	no	Fifth
82.9249	83.14	0.2151	3	no	no	Sixth
83.14	83.5044	0.3644	1	no	no	Seventh
83.5044	85.6022	2.0978	#10	NUM	no	Num
85.6022	85.7703	0.168	2	no	no	First
85.7703	86.015	0.2448	4	no	no	Second
86.015	86.5557	0.5407	7	no	no	Third
86.5557	86.8078	0.2521	-	no	Dash	Dash
86.8078	87.0233	0.2155	3	no	no	Fourth
87.0233	87.279	0.2557	2	no	no	Fifth
87.279	87.5494	0.2703	6	no	no	Sixth
87.5494	87.7905	0.2411	9	no	no	Seventh
93.5963	95.8492	2.2529	#12	NUM	no	Num
95.8492	96.0356	0.1863	9	no	no	First
96.0356	96.243	0.2074	9	no	no	Second
96.243	96.6205	0.3775	2	no	no	Third
96.6205	96.7469	0.1264	-	no	Dash	Dash
96.7469	96.8943	0.1474	1	no	no	Fourth
96.8943	97.0888	0.1944	6	no	no	Fifth
97.0888	97.254	0.1653	0	no	no	Sixth
97.254	97.4922	0.2382	2	no	no	Seventh
97.4922	104.3882	6.896	#14	NUM	no	Num
104.3882	104.5659	0.1777	2	no	no	First
104.5659	104.7799	0.214	2	no	no	Second
104.7799	105.1448	0.3649	2	no	no	Third
105.1448	105.3243	0.1796	-	no	Dash	Dash
105.3243	105.5498	0.2254	0	no	no	Fourth
105.5498	105.7599	0.2101	8	no	no	Fifth
105.7599	105.9586	0.1987	4	no	no	Sixth
105.9586	106.2433	0.2847	0	no	no	Seventh
106.2433	109.9351	3.6918	#15	NUM	no	Num
109.9351	110.0725	0.1374	8	no	no	First
110.0725	110.313	0.2405	0	no	no	Second
110.313	110.7596	0.4466	7	no	no	Third
110.7596	111.0143	0.2546	-	no	Dash	Dash
111.0143	111.2366	0.2223	6	no	no	Fourth
111.2366	111.4043	0.1677	0	no	no	Fifth
111.4043	111.6064	0.2021	9	no	no	Sixth
111.6064	111.8711	0.2647	1	no	no	Seventh
111.8711	113.8279	1.9567	#16	NUM	no	Num
