Country	LifeExp_Female	LifeExp_Male	Literacy_Female	Literacy_Male	Edu_Female	Edu_Male	Income_Female	Income_Male
Afghanistan	43.2	43.3	12.6	43.1	35.4	63.6		
Albania	79.7	73.3	98.4	99	67.6	68	4171	7599
Algeria	73.3	70.6	65.3	83.7	74.5	72.8	3797	10972
Andorra	84.2	77.4			66.3	64		
Angola	43.7	40.5	54.2	82.9			3393	5504
Antigua and Barbuda	74.5	69.6						
Argentina	78.8	71.3	97.6	97.5	93.3	84	8595	15485
Armenia	75	68.3	98.6	99	75.6	70	3524	6420
Australia	83.4	78.7	99	99	100	97.5	27866	38152
Austria	82.4	76.7	99	99	92.1	89	16047	40000
Azerbaijan	70.9	63.6	98.3	99	65.3	67.2	4915	7495
Bahamas	75.5	70.1	96.7	95	72.2	71.4	16971	23669
Bahrain	77.2	74	85.8	90	95.3	85.8	17342	40000
Bangladesh	64.4	62.6	46.8	57.9	52.5	51.8	722	1567
Barbados	79.5	73.9	99	98.9	88.6	79.3	12894	20139
Belarus	75	62.9	98.8	99	92.3	86.8	7722	12028
Belgium	82	76.1	99	99	95.9	92.8	20683	40000
Belize	79.2	73.2			79.2	77.4	3817	9476
Benin	57	54.6	27.1	52.4	44.5	60.1	805	1706
Bhutan	67	63.6	40.5	66.2	56.7	57.8	2664	5215
Bolivia	67.2	62.9	84.7	95	83.6	89.7	2924	5057
Bosnia and Herzegovina	77.2	71.9	94.3	99			5282	7866
Botswana	49	48.6	82.2	82.1	71.3	70	10275	15240
Brazil	75.8	68.4	89.9	89.4	89.4	85.1	6426	11521
Brunei Darussalam	79.5	74.8	92.7	96.3	79.9	77.1	16701	40000
Bulgaria	76.5	69.3	97.9	98.7	82.9	81.8	8219	12459
Burkina Faso	53.2	50.1	17.9	34.3	26.5	33.7	861	1306
Burundi	50.2	47.5	52.2	67.3	42.1	48	291	377
Cambodia	61.1	55.9	66.7	85.5	54.8	62.5	1392	1858
Cameroon	50.3	49.6	59.8	77	45.8	55.6	1359	2726
Canada	82.7	78	99	99	100	96.7	26055	40000
Cape Verde	74.1	67.8	77.8	88.9	71.3	68.7	1512	4257
Central African Republic	45.3	42.6	33.5	64.8	22.9	34.4	517	849
Chad	51.8	49.1	12.8	40.8	27.5	45.5	1169	1775
Chile	81.4	75.4	96.4	96.5	82	83	7557	18500
China	74.5	71.1	89.5	96.3	68.5	68.9	3644	5646
Colombia	76.3	68.9	92.2	92.4	79.6	76.2	4898	7902
Comoros	66.7	62.4	68.8	79.6	42.3	50.4	771	1530
Congo	55.7	53.2	80.7	91.6	55.2	62	2362	4755
Congo (Democratic Republic of the)	47.4	44.8	54.1	80.9	28.1	38.7	191	372
Costa Rica	81.1	76.3	96	95.6	74.4	71.6	7073	12591
Côte d'Ivoire	48.6	46.9	38.6	60.8	31.3	43.7	787	2449
Croatia	78.9	72	97.5	99	79.4	75.2	11753	17025
Cuba	80	76	99	99	100	87.5	4284	9467
Cyprus	81.5	76.6	96.3	98.9	77.8	77.3	19436	32557
Czech Republic	79.3	73	99	99	85.1	81.9	16603	27585
Denmark	80.3	75.7	99	99	100	92.6	29796	40000
Djibouti	55.5	53	61.4	79.9	21.9	29	1282	2648
Dominica	80	73.3			82.7	74.5		
Dominican Republic	75.1	68.8	89.2	88.5	76.7	70.4	3692	8458
Ecuador	77.9	71.9	91.3	93.5			5189	9075
Egypt	73.3	68.8	59.7	83.3			1963	7924
El Salvador	74.6	68.4	81	86.7	72.2	72.4	3670	7343
Equatorial Guinea	52	49.6	80.5	93.4	55.8	68.2	16378	38142
Eritrea	59.5	54.6	49.7	71.5	27.6	39.1	349	695
Estonia	76.8	65.7	99	99	98.2	84.6	15122	23859
Ethiopia	53.5	50.9	22.8	50	39.9	50.2	529	873
Fiji	70.8	66.3	92.1	95.9	73.2	70	2967	6079
Finland	82.2	75.8	99	99	100	93.2	27667	38262
France	83.8	76.8	99	99	97.4	93.5	24529	39731
Gabon	56.8	55.8	81.3	89.6			10374	18024
Gambia	60.1	58	35.4	49.9	47.2	46.4	804	1498
Georgia	74.6	66.8			77.3	72.1	2044	6185
Germany	82	76.4	99	99	87.5	88.6	24138	39600
Ghana	59.8	59	57.2	71.2	50.8	54.9	1035	1454
Greece	81.3	76.9	95.8	98.2	100	97	21181	40000
Grenada	70	66.7			73.8	72.4		
Guatemala	73.5	66.5	67.2	78.4	64.4	70.8	2160	6557
Guinea	56.9	53.7	18.1	42.6	41.5	56.9	893	1337
Guinea-Bissau	47.7	44.5	52.4	73.8	28.8	44.5	315	621
Guyana	68.8	63.1	98.5	99	84.9	83	1752	3754
Haiti	61.9	58.2	62.8	59.1			770	1454
Honduras	73.4	66.2	83.2	82	78.3	71.3	2254	4863
Hong Kong China (SAR)	85	79.2	91.4	97.3	73.4	75.4	31232	40000
Hungary	77.2	69	98.8	99	94	86.6	14658	21951
Iceland	83.2	80	99	99	100	88.2	29283	40000
India	65.7	62.7	53.4	76.4	57.4	64.3	1185	3698
Indonesia	72	68.2	87.4	94.7	66.8	69.5	2179	4729
Iran (Islamic Republic of)	72.1	69	78.4	89.4	73	73.4	5777	14150
Iraq	60.4	56.4	64.2	84.1	52.1	68.5		
Ireland	81.1	76.2	99	99	99.1	96.2	23295	40000
Israel	82.5	78.3			92.1	87.8	19635	29193
Italy	83.3	77.4	98.5	99	94.7	89.1	19168	38878
Jamaica	75	69.7	90.7	80	82	74.3	4651	8191
Japan	85.8	78.8	99	99	85.4	87.7	18334	40000
Jordan	74.1	70.5	88.8	96.3	79.9	77.5	2174	6989
Kazakhstan	71.8	61	98.7	99	95.1	88.5	8039	11782
Kenya	53.7	51.7	70.2	77.7	58.2	61	1295	1577
Kiribati	69.4	63.8			77.9	73.8		
Korea (Democratic People's Rep. of)	68.9	64.7						
Korea (Republic of)	81.8	74.6	99	99	85.7	100	15781	30143
Kuwait	79.7	75.8	90.8	94.5	77.8	67.8	16071	40000
Kyrgyzstan	69.7	61.8	98.5	99	79.8	75.6	1333	2306
Lao People's Democratic Republic	65	62.3	65.7	79.6	54.3	64.8	1341	2622
Latvia	77.5	66.9	99	99	97.5	83.2	12530	18704
Lebanon	73.9	69.6	83.4	93.6	78.5	75	4800	14883
Lesotho	42.4	42.1	90.3	73.7	62.3	60.6	1016	1915
Liberia	46	44.2	49.2	59.6	48.6	66.5	222	447
Libyan Arab Jamahiriya	76.5	71.3	77.6	94.1			6273	19931
Liechtenstein	82.2	75.9			79.3	93.2		
