Word	Coda	Base	Morph	Boundary	freq
*AIN'T	closed	closed	NULL	x	1
*AMAZINGLY	open	closed	inflect	x	1
*CLAPER	?	?	?	?	1
*DRAY	final	free	NULL	b	1
*FAINTING	closed	closed	NULL	x	1
*FRIDGERATOR	open	closed	deriv	x	1
*OCCUPATION	open	closed	deriv	x	1
*ORGINATION	open	closed	deriv	x	1
*REPRETATION	open	closed	deriv	x	1
*SACRED	open	open	NULL	x	1
*SAME	closed	closed	NULL	x	1
*STAY	final	free	NULL	b	1
*THEYS	closed	free	inflect	b	1
A	final	free	NULL	b	1268
A'S	closed	free	inflect	b	7
ABATEMENT	closed	closed	NULL	x	3
ABATEMENTS	closed	closed	NULL	x	1
ABLE	open	open	NULL	x	84
ACCLIMATED	open	closed	inflect	x	1
ACCOMMODATE	closed	closed	NULL	x	1
ACCUMULATED	open	closed	inflect	x	1
ACE	closed	closed	NULL	x	3
ACES	open	closed	inflect	x	7
ACHE	closed	closed	NULL	x	3
ACHES	closed	closed	NULL	x	2
ACQUAINTANCE	?	?	?	?	1
ACQUAINTANCES	?	?	?	?	4
ACQUAINTED	closed	closed	NULL	x	2
ACRE	open	open	NULL	x	1
ACRES	open	open	NULL	x	6
ADEQUATE	closed	closed	NULL	x	1
ADJACENT	open	open	NULL	x	2
ADMINISTRATION	open	closed	deriv	x	7
ADMINISTRATIVE	open	closed	deriv	x	1
ADMINISTRATOR	open	closed	deriv	x	5
ADMINISTRATORS	open	closed	deriv	x	2
ADVOCATE	closed	closed	NULL	x	1
AFRAID	closed	closed	NULL	x	98
AGE	closed	closed	NULL	x	175
AGED	closed	closed	NULL	x	2
AGENCIES	open	open	NULL	x	2
AGENCY	open	open	NULL	x	5
AGENT	open	open	NULL	x	9
AGES	open	closed	inflect	x	4
AGGRAVATION	open	closed	deriv	x	4
AGITATE	closed	closed	NULL	x	1
AGITATION	open	closed	deriv	x	1
AGITATIONS	open	closed	deriv	x	2
AGITATORS	open	closed	deriv	x	1
AID	closed	closed	NULL	x	11
AID'S	closed	closed	NULL	x	1
AIDE	closed	closed	NULL	x	4
AIDS	closed	closed	NULL	x	5
AILS	closed	closed	NULL	x	1
AIN'	closed	closed	NULL	x	1
AIN'T	closed	?	?	?	126
AIRPLANE	closed	closed	NULL	x	6
AIRPLANES	closed	closed	NULL	x	4
ALBANIA	open	open	NULL	x	1
ALBANIANS	open	open	NULL	x	1
ALES	closed	closed	NULL	x	1
ALIEN	open	open	NULL	x	2
ALIENS	open	open	NULL	x	1
ALLAY	final	free	NULL	b	1
ALLEGHANY	open	open	NULL	x	3
ALLEGHENY	open	open	NULL	x	6
ALLEGRO'S	open	open	NULL	x	1
ALLEYWAY	final	free	NULL	b	7
ALLIGATOR	open	open	NULL	x	1
