Word	Coda	Base	Morph
AM	NA	NA	NA
UKRAINIAN	open	closed	deriv
COMMENTATING	open	closed	inflect
NEIGHBORING	open	open	NULL
JUBILATION	open	closed	deriv
COMMENTATORS	open	closed	deriv
UPGRADES	closed	closed	NULL
STATING	open	closed	inflect
LAYS	closed	final	inflect
CUPCAKES	closed	closed	NULL
SEDERS	open	open	NULL
MAYER	hiatus	hiatus	NULL
BREAKDANCIN'	closed	closed	NULL
BREAKDANCE	closed	closed	NULL
THURSDAYS	closed	final	inflect
PLAYSTATION	open	final	compound
WEBPAGE	closed	closed	NULL
FORGAVE	closed	closed	NULL
PAYSA	?	?	NULL
SHAINDLE	?	?	NULL
AGAIN	NA	NA	NULL
SHAINDLE'S	?	?	NULL
KAINER	?	?	NULL
JAILED	closed	closed	NULL
DELAYED	closed	open	inflect
PLANE'S	closed	closed	NULL
INCAPABLE	open	open	NULL
RACHEL'S	open	open	NULL
DAINTY	closed	closed	NULL
MONSEIGNEUR	NA	NA	NULL
FAILURE	open	closed	deriv
STAIN	closed	closed	NULL
PRAYERS	NA	NA	NULL
PRAYER	NA	NA	NULL
AGGRAVATED	open	closed	inflect
FRIGHTIN'	NA	NA	NULL
PERPETUATES	closed	closed	NULL
AIM	closed	closed	NULL
NAILED	closed	closed	NULL
ESCAPING	open	closed	inflect
MANIPULATED	open	closed	inflect
FRUSTRATING	open	closed	inflect
AMAZE	closed	closed	NULL
RATIO	open	open	NULL
MILKSHAKE	closed	closed	NULL
AMOS	open	open	NULL
DECLARATIONS	open	closed	deriv
SAILING	open 	closed	inflect
MAY'S	closed	final	inflect
GRACE'S	open	closed	inflect
MAME	closed	closed	NULL
PLATING	open	closed	inflect
TODAYS	closed	final	inflect
ORDAINED	closed	closed	NULL
ARCADIA	open	open	NULL
APRON	open	open	NULL
ILLUSTRATIONS	open	closed	deriv
COMBINATIONS	open	closed	deriv
RATIOS	open	open	NULL
DREIDEL	open	open	NULL
ACCELERATED	open	closed	inflect
TORQUAY	final	final	NULL
OUTDATED	open	closed	inflect
REGIMENTATION	open	closed	deriv
REHABILITATION	open	closed	deriv
SHOELACES	open	closed	inflect
OBLIGATED	open	closed	inflect
RANGES	closed	closed	NULL
STRAINED	closed	closed	NULL
BAKIN'	open	closed	inflect
ANGELS	closed	closed	NULL
PILLOWCASES	open	closed	inflect
ZANE	closed	closed	NULL
RELAXATION	open	closed	deriv
CONVERSATION'S	open	closed	deriv
AIMIN'	open	closed	inflect
PRESENTATION	open	closed	deriv
DELAYS	closed	final	inflect
FILET	final	final	NULL
*PLACE	closed	closed	NULL
*CRAZY	open	open	NULL
FRUSTRATIONS	open	closed	deriv
ALTERCATION	open	closed	deriv
VALIUM	open	open	NULL
CONDENSATION	open	closed	deriv
HANDMADE	closed	closed	NULL
TABLECLOTH	open	open	NULL
AMEN	open	open	NULL
FADE	closed	closed	NULL
PAILS	closed	closed	NULL
CAFE	final	final	NULL
JACOB	open	open	NULL
CRANEGOLD'S	closed	closed	NULL
CRANEGOLD	closed	closed	NULL
GRATED	open	closed	inflect
ABE	closed	closed	NULL
MANIPULATE	closed	closed	NULL
NATHAN	open	open	NULL
INITIATED	open	closed	inflect
WAYNEWOOD	closed	closed	NULL
STAKES	closed	closed	NULL
EDUCATIONALLY	open	closed	deriv
O'CLAIN	closed	closed	NULL
AMISH	NA	NA	NULL
TRAILERS	open	closed	deriv
SALLE	?	?	NULL
ANGE	?	?	NULL
SCANDINAVIAN	open 	open 	NULL
ASSIMILATED	open	closed	inflect
PARADERS	open	closed	deriv
SCANDINAVIA	open	open	NULL
PREPARATION	open	closed	deriv
DECADES	closed	closed	NULL
GAIETY	hiatus	final	deriv
AWAKENING	open	closed	deriv
ENGAGES	open	closed	inflect
EMANATE	closed	closed	NULL
SAILED	closed	closed	NULL
BOWLAY	final	final	NULL
LABOUR	open	open	NULL
BLOOMINGDALES	closed	closed	NULL
SUNDAE	final	final	NULL
SPAIN'S	closed	closed	NULL
ALLEGRE	open	open	NULL
RAYMOND'S	open	open	NULL
BRAIDS	closed	closed	NULL
STRAY	final	final	NULL
WAITS	closed	closed	NULL
ROMANIA	open	open	NULL
NOTATION	open	closed	deriv
CAMPAIGNING	open	closed	inflect
CAPADES	closed	closed	NULL
SKATERS	open	closed	deriv
BRACES	open	closed	inflect
PAVEMENT'S	closed	closed	NULL
TAPE'S	closed	closed	NULL
VALET	final	final	NULL
PAINTINGS	closed	closed	NULL
ALE	closed	closed	NULL
DECAPITATED	open	closed	inflect
NAMING	open	closed	inflect
RETAIN	closed	closed	NULL
IMMIGRATED	open	closed	inflect
LABORER	open	open	NULL
DALMATIAN	open	open	NULL
LEGISLATION	open	closed	deriv
INVADING	open	closed	inflect
INVASION	open	closed	deriv
FACILITATOR	open	closed	deriv
FACILITATORS	open	closed	deriv
CAPABILITIES	open	open	NULL
COMMUNICATING	open	closed	inflect
SLATED	open	closed	inflect
HOSPITALIZATION	open	closed	deriv
BRAZING	open	closed	inflect
STATE'S	closed	closed	NULL
MARINATED	open	closed	inflect
RECLAMATION	open	closed	deriv
ENDANGER	closed	closed	NULL
MAYES	closed	closed	NULL
AY	?	?	NULL
INTIMIDATIN'	open	closed	inflect
RUNWAY	final	final	NULL
ISRAELI	open	open	NULL
JAILBAIT	closed	closed	NULL
KMART	open	final	compound
HATEFUL	closed	closed	NULL
*CAMED	closed	closed	NULL
GRAVESTONES	closed	closed	NULL
RATING	open	closed	inflect
BAYONET	hiatus	hiatus	NULL
